date,num_accounts,count_1_day_actives,count_7_day_actives,count_14_day_actives,count_30_day_actives,count_30_day_idle,count_60_day_idle,count_90_day_idle
20140101,2,0,0,1,1,0,0,1
20140102,2,0,0,1,1,0,0,1
20140103,2,1,1,1,1,0,0,1
20140104,2,0,1,1,1,0,0,1
20140105,2,1,1,1,1,0,0,1
20140106,2,1,1,1,1,0,0,1
20140107,2,1,1,1,1,0,0,1
20140108,2,1,1,1,1,0,0,1
20140109,2,1,1,1,1,0,0,1
20140110,2,0,1,1,1,0,0,1
20140111,2,0,1,1,1,0,0,1
20140112,2,1,1,1,1,0,0,1
20140113,2,0,1,1,1,0,0,1
20140114,2,0,1,1,1,0,0,1
20140115,2,0,1,1,1,0,0,1
20140116,2,0,1,1,1,0,0,1
20140117,2,1,1,1,1,0,0,1
20140118,2,0,1,1,1,0,0,1
20140119,2,0,1,1,1,0,0,1
20140120,2,0,1,1,1,0,0,1
20140121,2,0,1,1,1,0,0,1
20140122,2,1,1,1,1,0,0,1
20140123,2,0,1,1,1,0,0,1
20140124,2,2,2,2,2,0,0,0
20140125,2,1,2,2,2,0,0,0
20140126,2,0,2,2,2,0,0,0
